Direction,Flat_Lots,Cmpd_Lots,Date_In,Time_In,Price_In,Date_Out,Time_Out,Price_Out,PTS,Flat_P&L,Cmpd_P&L,Status,Session
LONG,0.10,0.10,2026-03-03,09:00,$66648.62,2026-03-03,12:00,$67077.19,+428.56,$+42.86,$+42.86,TP1_Trail,London
LONG,0.10,0.20,2026-03-06,14:00,$68341.33,2026-03-07,07:00,$67657.91,-683.41,$-68.34,$-136.68,SL,New York
LONG,0.10,0.10,2026-03-08,04:00,$66647.52,2026-03-08,11:00,$67488.74,+841.23,$+84.12,$+84.12,TP1_Trail,Asian
LONG,0.10,0.20,2026-03-18,13:00,$72050.67,2026-03-18,14:00,$71330.17,-720.51,$-72.05,$-144.10,SL,New York
LONG,0.10,0.10,2026-03-18,14:00,$71315.33,2026-03-19,06:00,$70602.17,-713.15,$-71.32,$-71.32,SL,New York
LONG,0.10,0.10,2026-03-22,01:00,$68959.23,2026-03-22,11:00,$68269.64,-689.59,$-68.96,$-68.96,SL,Asian
LONG,0.10,0.10,2026-03-26,10:00,$69460.29,2026-03-26,17:00,$68765.69,-694.60,$-69.46,$-69.46,SL,London
LONG,0.10,0.10,2026-03-27,10:00,$66486.01,2026-03-27,14:00,$65821.15,-664.86,$-66.49,$-66.49,SL,London
LONG,0.10,0.10,2026-04-05,06:00,$66825.31,2026-04-05,22:00,$67642.23,+816.92,$+81.69,$+81.69,TP1_Trail,London
