Date,Type,Entry_Price,Exit_Price,Gross_PnL,Fees,Net_PnL,Win,YearMonth,Year
2024-04-24 18:00,LONG,65139.81640625,64358.138609375,-78.1677796875003,12.949795501562502,-91.1175751890628,No,2024-04,2024
2024-04-25 14:00,LONG,64140.765625,63371.0764375,-76.96891875000001,12.751184206250002,-89.72010295625002,No,2024-04,2024
2024-04-29 03:00,LONG,63238.70703125,62479.842546875,-75.88644843750008,12.571854957812501,-88.45830339531257,No,2024-04,2024
2024-04-30 09:00,LONG,62449.43359375,61700.040390625,-74.93932031250006,12.414947398437501,-87.35426771093756,No,2024-04,2024
2024-04-30 16:00,LONG,61195.86328125,60461.512921875,-73.43503593749993,12.165737620312502,-85.60077355781243,No,2024-04,2024
2024-04-30 19:00,LONG,60345.08203125,59620.941046875,-72.41409843750007,11.996602307812502,-84.41070074531257,No,2024-04,2024
2024-05-01 07:00,LONG,59120.06640625,58410.625609375,-70.9440796875002,11.7530692015625,-82.6971488890627,No,2024-05,2024
2024-05-03 03:00,LONG,57405.6328125,59701.858125,229.6225312499999,11.71074909375,217.9117821562499,Yes,2024-05,2024
2024-05-03 20:00,SHORT,61662.1953125,62402.14165625,-73.99463437500017,12.406433696875002,-86.40106807187519,No,2024-05,2024
2024-05-04 10:00,SHORT,62860.75,63615.079,-75.43289999999979,12.647582900000002,-88.0804828999998,No,2024-05,2024
2024-05-08 20:00,SHORT,64449.6953125,61871.7075,257.79878125000033,12.63214028125,245.16664096875033,Yes,2024-05,2024
2024-05-10 17:00,LONG,61497.86328125,60759.888921875,-73.79743593750027,12.2257752203125,-86.02321115781277,No,2024-05,2024
2024-05-13 09:00,LONG,60385.109375,62800.513750000006,241.54043750000056,12.318562312500001,229.22187518750056,Yes,2024-05,2024
2024-05-15 13:00,SHORT,63038.6953125,63795.15965625,-75.64643437499981,12.683385496875001,-88.32981987187482,No,2024-05,2024
2024-05-15 17:00,SHORT,64161.84375,64931.785875,-76.99421250000015,12.909362962500001,-89.90357546250014,No,2024-05,2024
2024-05-15 19:00,SHORT,65122.19921875,65903.665609375,-78.14663906250063,13.102586482812502,-91.24922554531312,No,2024-05,2024
2024-05-17 15:00,SHORT,65999.5078125,66791.50190625,-79.1994093750007,13.279100971875003,-92.47851034687571,No,2024-05,2024
2024-05-20 16:00,SHORT,67205.8046875,68012.27434375,-80.6469656250003,13.521807903125001,-94.16877352812531,No,2024-05,2024
2024-05-20 19:00,SHORT,68321.1484375,69141.00221875,-81.985378125,13.746215065625002,-95.731593190625,No,2024-05,2024
2024-05-20 23:00,SHORT,69881.765625,70720.3468125,-83.85811875000073,14.060211243750002,-97.91832999375073,No,2024-05,2024
2024-05-23 13:00,SHORT,71376.6796875,68521.6125,285.5067187499997,13.98982921875,271.5168895312497,Yes,2024-05,2024
2024-06-04 15:00,LONG,67674.4765625,70381.455625,270.69790625000024,13.805593218750001,256.89231303125024,Yes,2024-06,2024
2024-06-05 15:00,SHORT,70428.234375,71273.3731875,-84.5138812499994,14.17016075625,-98.6840420062494,No,2024-06,2024
2024-06-11 02:00,SHORT,71240.8125,68391.18,284.9632500000007,13.96319925,271.0000507500007,Yes,2024-06,2024
2024-06-11 09:00,LONG,68016.15625,67199.962375,-81.61938749999973,13.5216118625,-95.14099936249973,No,2024-06,2024
2024-06-11 15:00,LONG,67098.140625,66292.9629375,-80.5177687500007,13.33911035625,-93.8568791062507,No,2024-06,2024
2024-06-12 12:00,LONG,66246.6015625,68896.465625,264.98640624999973,13.51430671875,251.47209953124974,Yes,2024-06,2024
2024-06-13 15:00,SHORT,69384.7421875,66609.3525,277.53896875000066,13.59940946875,263.93955928125064,Yes,2024-06,2024
2024-06-14 16:00,LONG,66391.078125,65594.3851875,-79.66929375000036,13.19854633125,-92.86784008125036,No,2024-06,2024
2024-06-21 07:00,LONG,65236.2421875,64453.40728125,-78.28349062499984,12.968964946875001,-91.25245557187485,No,2024-06,2024
2024-06-23 23:00,LONG,64187.97265625,63417.716984375,-77.02556718749985,12.7605689640625,-89.78613615156235,No,2024-06,2024
2024-06-24 05:00,LONG,63208.92578125,62450.418671875,-75.85071093750012,12.5659344453125,-88.41664538281262,No,2024-06,2024
2024-06-24 09:00,LONG,62274.69140625,61527.395109375,-74.72962968749998,12.380208651562501,-87.10983833906249,No,2024-06,2024
2024-06-24 16:00,LONG,61354.390625,60618.137937499996,-73.6252687500004,12.19725285625,-85.8225216062504,No,2024-06,2024
2024-06-24 19:00,LONG,60090.58984375,59369.502765625,-72.10870781249979,11.946009260937501,-84.05471707343729,No,2024-06,2024
2024-06-25 14:00,LONG,59198.53515625,61566.4765625,236.794140625,12.076501171875002,224.71763945312503,Yes,2024-06,2024
2024-06-27 06:00,LONG,61478.2578125,60740.51871875,-73.77390937500023,12.221877653125002,-85.99578702812524,No,2024-06,2024
2024-06-30 22:00,SHORT,61844.52734375,62586.661671875,-74.2134328125001,12.443118901562503,-86.6565517140626,No,2024-06,2024
2024-07-01 17:00,SHORT,62799.94140625,63553.540703125,-75.35992968749997,12.6353482109375,-87.99527789843748,No,2024-07,2024
2024-07-03 01:00,LONG,62548.40234375,61797.821515625,-75.05808281249993,12.434622385937502,-87.49270519843743,No,2024-07,2024
2024-07-03 08:00,LONG,61397.3203125,60660.55246875,-73.676784375,12.205787278125001,-85.882571653125,No,2024-07,2024
2024-07-03 19:00,LONG,60543.19140625,59816.673109375,-72.65182968750014,12.0359864515625,-84.68781613906263,No,2024-07,2024
2024-07-04 01:00,LONG,59722.01171875,59005.347578125,-71.66641406249983,11.8727359296875,-83.53914999218732,No,2024-07,2024
2024-07-04 12:00,LONG,58163.98828125,57466.020421875,-69.79678593749996,11.5630008703125,-81.35978680781247,No,2024-07,2024
2024-07-05 02:00,LONG,57171.3046875,56485.24903125,-68.60556562499987,11.365655371875,-79.97122099687488,No,2024-07,2024
2024-07-05 04:00,LONG,55213.265625,54550.7064375,-66.25591875000028,10.97639720625,-77.23231595625028,No,2024-07,2024
2024-07-05 15:00,LONG,53933.0390625,56090.360625,215.73215625000012,11.00233996875,204.72981628125012,Yes,2024-07,2024
2024-07-06 15:00,SHORT,56570.2265625,57249.06928125,-67.88427187499984,11.381929584375001,-79.26620145937484,No,2024-07,2024
2024-07-06 22:00,SHORT,57321.34765625,58009.203828125,-68.78561718749988,11.533055148437501,-80.31867233593739,No,2024-07,2024
2024-07-08 00:00,SHORT,58102.40234375,55778.30625,232.40960937499986,11.388070859375,221.02153851562488,Yes,2024-07,2024
2024-07-08 08:00,LONG,55236.2734375,57445.724375000005,220.94509375000052,11.26819978125,209.6768939687505,Yes,2024-07,2024
2024-07-09 23:00,SHORT,57291.91796875,57979.420984375,-68.75030156249996,11.5271338953125,-80.27743545781246,No,2024-07,2024
2024-07-14 05:00,SHORT,59288.97265625,60000.440328125,-71.14676718749979,11.9289412984375,-83.07570848593728,No,2024-07,2024
2024-07-14 21:00,SHORT,60268.51171875,60991.733859375,-72.32221406250028,12.126024557812503,-84.44823862031278,No,2024-07,2024
2024-07-15 16:00,SHORT,62625.859375,63377.3696875,-75.15103125000023,12.60032290625,-87.75135415625024,No,2024-07,2024
2024-07-15 22:00,SHORT,63564.171875,64326.9419375,-76.27700624999999,12.78911138125,-89.06611763124998,No,2024-07,2024
2024-07-17 01:00,SHORT,64863.97265625,65642.340328125,-77.83676718750067,13.050631298437501,-90.88739848593818,No,2024-07,2024
2024-07-19 17:00,SHORT,65702.609375,66491.0406875,-78.84313125000045,13.219365006250001,-92.06249625625045,No,2024-07,2024
2024-07-21 20:00,SHORT,66794.5546875,67596.08934375,-80.15346562500054,13.439064403125002,-93.59253002812554,No,2024-07,2024
2024-07-23 18:00,LONG,66682.625,65882.4335,-80.01915000000008,13.256505850000002,-93.27565585000008,No,2024-07,2024
2024-07-25 01:00,LONG,65885.0625,65094.44175,-79.06207500000019,13.097950425,-92.16002542500019,No,2024-07,2024
2024-07-26 02:00,LONG,64197.36328125,66765.2578125,256.789453125,13.096262109375001,243.69319101562502,Yes,2024-07,2024
2024-07-26 13:00,SHORT,67015.4375,67819.62275,-80.4185249999995,13.483506025,-93.9020310249995,No,2024-07,2024
2024-07-27 13:00,SHORT,67900.8671875,68715.67759375,-81.48104062500062,13.661654478125001,-95.14269510312562,No,2024-07,2024
2024-07-30 01:00,SHORT,69264.2890625,66493.7175,277.0571562500001,13.57580065625,263.4813555937501,Yes,2024-07,2024
2024-07-31 19:00,LONG,66187.3359375,65393.08790625,-79.42480312499976,13.158042384375001,-92.58284550937475,No,2024-07,2024
2024-08-01 04:00,LONG,64564.2578125,63789.48671875,-77.47710937500015,12.835374453125,-90.31248382812515,No,2024-08,2024
2024-08-01 16:00,LONG,63705.19140625,62940.729109375,-76.44622968749972,12.6645920515625,-89.11082173906223,No,2024-08,2024
2024-08-02 22:00,LONG,62033.05859375,61288.661890625,-74.43967031249996,12.332172048437501,-86.77184236093746,No,2024-08,2024
2024-08-03 18:00,LONG,61195.23046875,60460.887703125,-73.43427656249987,12.165611817187502,-85.59988837968737,No,2024-08,2024
2024-08-04 15:00,LONG,60212.77734375,59490.224015625,-72.25533281250027,11.9703001359375,-84.22563294843778,No,2024-08,2024
2024-08-04 17:00,LONG,58968.984375,58261.3565625,-70.76278125000026,11.723034093750002,-82.48581534375026,No,2024-08,2024
2024-08-05 00:00,LONG,57864.578125,57170.2031875,-69.4374937499997,11.503478131250002,-80.94097188124971,No,2024-08,2024
2024-08-05 01:00,LONG,56036.671875,55364.2318125,-67.2440062499998,11.14009036875,-78.3840966187498,No,2024-08,2024
2024-08-05 04:00,LONG,54691.21484375,54034.920265625,-65.62945781250019,10.872613510937502,-76.50207132343769,No,2024-08,2024
2024-08-05 05:00,LONG,53615.59375,52972.206625,-64.33871250000011,10.658780037500001,-74.99749253750011,No,2024-08,2024
2024-08-05 06:00,LONG,52753.21484375,52120.176265625,-63.30385781250007,10.487339110937501,-73.79119692343757,No,2024-08,2024
2024-08-05 12:00,LONG,51460.3671875,50842.84278125,-61.75244062499988,10.230320996875001,-71.98276162187487,No,2024-08,2024
2024-08-05 13:00,LONG,49842.5234375,51836.224375000005,199.37009375000054,10.167874781250003,189.20221896875054,Yes,2024-08,2024
2024-08-05 14:00,LONG,51981.109375,54060.35375,207.9244375000002,10.604146312500001,197.32029118750023,Yes,2024-08,2024
2024-08-06 16:00,SHORT,55910.17578125,56581.097890625,-67.09221093750021,11.249127367187501,-78.34133830468772,No,2024-08,2024
2024-08-08 12:00,SHORT,56766.86328125,57448.065640625,-68.12023593749983,11.421492892187501,-79.54172882968733,No,2024-08,2024
2024-08-08 14:00,SHORT,57960.125,58655.6465,-69.55215000000025,11.661577150000001,-81.21372715000025,No,2024-08,2024
2024-08-08 21:00,SHORT,58961.26953125,59668.804765625,-70.75352343749982,11.8630074296875,-82.61653086718732,No,2024-08,2024
2024-08-08 22:00,SHORT,61065.796875,61798.5864375,-73.27895625000019,12.286438331250002,-85.56539458125019,No,2024-08,2024
2024-08-09 15:00,SHORT,62427.046875,59929.965,249.70818750000035,12.235701187500002,237.47248631250034,Yes,2024-08,2024
2024-08-11 20:00,LONG,59900.8046875,59181.99503125,-71.88096562499996,11.908279971875,-83.78924559687495,No,2024-08,2024
2024-08-13 16:00,LONG,58559.125,60901.490000000005,234.23650000000055,11.946061500000003,222.29043850000056,Yes,2024-08,2024
2024-08-14 23:00,SHORT,61226.2109375,58777.1625,244.90484375000017,12.000337343750001,232.90450640625016,Yes,2024-08,2024
2024-08-15 18:00,LONG,58749.3203125,58044.32846875,-70.49918437500018,11.679364878125,-82.17854925312518,No,2024-08,2024
2024-08-16 17:00,SHORT,58440.49609375,59141.782046875,-70.12859531249997,11.7582278140625,-81.88682312656248,No,2024-08,2024
2024-08-18 02:00,SHORT,59163.39453125,59873.355265625,-70.99607343750031,11.903674979687501,-82.89974841718782,No,2024-08,2024
2024-08-20 04:00,LONG,58482.74609375,60822.0559375,233.93098437500012,11.930480203125,222.00050417187512,Yes,2024-08,2024
2024-08-23 16:00,SHORT,60930.84375,61662.013875000004,-73.11701250000043,12.259285762500001,-85.37629826250043,No,2024-08,2024
2024-08-23 21:00,SHORT,62947.8671875,63703.24159375,-75.53744062499973,12.665110878125002,-88.20255150312474,No,2024-08,2024
2024-08-27 14:00,SHORT,64453.59375,61875.45,257.8143750000003,12.632904374999999,245.18147062500032,Yes,2024-08,2024
2024-08-27 21:00,LONG,61659.8828125,60919.96421875,-73.99185937500006,12.257984703125,-86.24984407812505,No,2024-08,2024
2024-08-27 22:00,LONG,60403.9609375,59679.11340625,-72.48475312500014,12.008307434375002,-84.49306055937514,No,2024-08,2024
2024-08-28 07:00,LONG,59533.34765625,58818.947484375,-71.44001718750006,11.835229514062501,-83.27524670156257,No,2024-08,2024
2024-09-01 10:00,LONG,58616.234375,57912.8395625,-70.33948125000025,11.65290739375,-81.99238864375025,No,2024-09,2024
2024-09-04 01:00,LONG,57911.16796875,57216.233953124996,-69.49340156250037,11.5127401921875,-81.00614175468787,No,2024-09,2024
2024-09-05 15:00,LONG,56828.09375,56146.156624999996,-68.1937125000004,11.297425037500002,-79.4911375375004,No,2024-09,2024
2024-09-06 14:00,LONG,55987.69140625,55315.839109374996,-67.1852296875004,11.130353051562501,-78.31558273906289,No,2024-09,2024
2024-09-06 20:00,LONG,54016.6328125,53368.43321875,-64.81995937500032,10.738506603125,-75.55846597812531,No,2024-09,2024
2024-09-09 00:00,LONG,52827.2890625,54940.380625000005,211.30915625000054,10.776766968750001,200.53238928125052,Yes,2024-09,2024
2024-09-09 10:00,SHORT,54652.68359375,55308.515796875,-65.5832203124999,10.9961199390625,-76.5793402515624,No,2024-09,2024
2024-09-09 16:00,SHORT,55355.8515625,56020.12178125,-66.42702187500036,11.137597334375002,-77.56461920937537,No,2024-09,2024
2024-09-10 19:00,SHORT,57163.04296875,57848.999484375,-68.59565156250028,11.501204245312502,-80.09685580781277,No,2024-09,2024
2024-09-11 13:00,LONG,56677.48046875,55997.350703125,-68.01297656250027,11.267483117187501,-79.28045967968778,No,2024-09,2024
2024-09-12 03:00,LONG,55838.640625,58072.18625,223.3545624999999,11.391082687500003,211.9634798124999,Yes,2024-09,2024
2024-09-13 15:00,SHORT,58251.6484375,58950.66821875,-69.90197812499973,11.720231665625,-81.62220979062474,No,2024-09,2024
2024-09-13 22:00,SHORT,59621.0390625,60336.49153125,-71.54524687500016,11.995753059375001,-83.54099993437515,No,2024-09,2024
2024-09-16 14:00,SHORT,60638.91015625,58213.353749999995,242.55564062500054,11.885226390625,230.67041423437556,Yes,2024-09,2024
2024-09-17 14:00,SHORT,59220.04296875,59930.683484375004,-71.0640515625004,11.9150726453125,-82.9791242078129,No,2024-09,2024
2024-09-17 15:00,SHORT,60249.859375,60972.8576875,-72.29983125,12.12227170625,-84.42210295625,No,2024-09,2024
2024-09-19 00:00,SHORT,61137.2734375,61870.92071875,-73.36472812499997,12.300819415625002,-85.66554754062497,No,2024-09,2024
2024-09-19 13:00,SHORT,62227.11328125,62973.838640625,-74.67253593749993,12.520095192187501,-87.19263112968743,No,2024-09,2024
