Entry,Type,Price_In,Exit,Price_Out,Status,P&L,P&L%
2026-03-28 15:00,SHORT,66939.74,2026-03-30 01:00,66460.96,TP1_TRAIL,47.88,0.72
2026-04-04 15:00,SHORT,67364.34,2026-04-05 22:00,68037.99,SL,-67.36,-1.00
